ProductID,ProductName,Category,SubCategory,Brand,MRP
1,Accusantium,Sports,Standard,Tata,49235
2,Exercitationem,Beauty,Budget,Puma,20301
3,Ratione,Sports,Standard,Tata,70005
4,Odio,Home & Kitchen,Premium,Nike,3111
5,Praesentium,Electronics,Standard,Apple,49527
6,Neque,Sports,Standard,Reliance,16579
7,Impedit,Grocery,Premium,Reliance,55176
8,At,Home & Kitchen,Standard,Puma,54900
9,Impedit,Grocery,Premium,Local,42637
10,Quaerat,Fashion,Budget,Apple,76481
11,Ullam,Home & Kitchen,Budget,Apple,14679
12,Voluptatibus,Grocery,Premium,Local,46414
13,Fuga,Beauty,Standard,Reliance,69288
14,Harum,Beauty,Standard,Tata,64326
15,Ipsum,Electronics,Budget,Nike,1716
16,Ipsam,Sports,Standard,Apple,15250
17,Tenetur,Grocery,Premium,Reliance,71079
18,Ratione,Home & Kitchen,Premium,Samsung,52632
19,Placeat,Fashion,Standard,Nike,20138
20,Nesciunt,Beauty,Budget,Local,57305
21,Corrupti,Home & Kitchen,Budget,Local,57888
22,Tempora,Sports,Standard,Reliance,1062
23,Occaecati,Electronics,Premium,Local,65140
24,Hic,Electronics,Standard,Samsung,26978
25,Dolore,Fashion,Premium,Tata,14553
26,Tempora,Beauty,Budget,Tata,3426
27,Magnam,Sports,Premium,Samsung,29945
28,Fuga,Grocery,Premium,Puma,33691
29,A,Sports,Budget,Samsung,69324
30,Magni,Grocery,Premium,Local,10048
31,Ipsa,Beauty,Budget,Reliance,33752
32,At,Fashion,Premium,Samsung,14362
33,Aspernatur,Fashion,Premium,Apple,44896
34,Recusandae,Electronics,Budget,Reliance,34265
35,Quisquam,Grocery,Budget,Puma,70046
36,Nisi,Electronics,Budget,Local,8072
37,Animi,Grocery,Standard,Reliance,25487
38,Sed,Home & Kitchen,Premium,Tata,46376
39,Voluptate,Home & Kitchen,Premium,Local,19991
40,Tempore,Fashion,Standard,Puma,67241
41,Eveniet,Sports,Standard,Reliance,64292
42,Harum,Grocery,Standard,Nike,28765
43,Eligendi,Fashion,Budget,Apple,25315
44,Odio,Electronics,Standard,Local,31543
45,Incidunt,Sports,Premium,Local,58878
46,Officiis,Sports,Budget,Local,43198
47,Blanditiis,Electronics,Budget,Local,13874
48,Nihil,Electronics,Budget,Local,69768
49,Quisquam,Electronics,Premium,Tata,15484
50,Minus,Home & Kitchen,Budget,Local,3635
51,Odio,Fashion,Premium,Tata,7478
52,Ipsum,Grocery,Standard,Apple,29661
53,Molestiae,Sports,Premium,Samsung,37735
54,Nesciunt,Grocery,Premium,Samsung,31034
55,Adipisci,Sports,Standard,Local,43114
56,Dignissimos,Fashion,Budget,Puma,14255
57,Quo,Fashion,Standard,Puma,58063
58,Occaecati,Fashion,Premium,Puma,63628
59,Dolore,Fashion,Budget,Nike,14445
60,Veniam,Sports,Premium,Tata,63734
61,Aliquam,Electronics,Premium,Tata,10270
62,Eaque,Beauty,Budget,Tata,74789
63,Sunt,Grocery,Premium,Apple,18008
64,Blanditiis,Sports,Standard,Samsung,71443
65,Expedita,Sports,Premium,Local,77940
66,Totam,Grocery,Budget,Reliance,49416
67,Laudantium,Grocery,Premium,Local,63209
68,Harum,Grocery,Premium,Puma,74855
69,Fugit,Home & Kitchen,Standard,Puma,23556
70,Natus,Sports,Premium,Local,76669
71,Quisquam,Home & Kitchen,Premium,Reliance,12620
72,Laboriosam,Fashion,Premium,Reliance,60775
73,Molestias,Fashion,Standard,Reliance,61506
74,Vitae,Sports,Budget,Local,73823
75,Culpa,Home & Kitchen,Standard,Tata,35149
76,Quam,Electronics,Premium,Local,20370
77,Temporibus,Fashion,Standard,Nike,55607
78,Odit,Electronics,Standard,Apple,61692
79,Ipsa,Home & Kitchen,Premium,Reliance,18972
80,Tempora,Electronics,Budget,Samsung,49244
81,Doloremque,Electronics,Premium,Samsung,908
82,Reprehenderit,Electronics,Budget,Local,29754
83,Dolor,Fashion,Standard,Samsung,76608
84,Officia,Electronics,Standard,Nike,51620
85,Eveniet,Fashion,Standard,Tata,33619
86,Doloribus,Beauty,Standard,Puma,43918
87,Cupiditate,Electronics,Premium,Puma,74009
88,Eligendi,Beauty,Premium,Reliance,56601
89,Deserunt,Electronics,Budget,Tata,58154
90,Tenetur,Beauty,Premium,Apple,67277
91,Similique,Home & Kitchen,Premium,Reliance,65007
92,Culpa,Beauty,Budget,Puma,9553
93,Explicabo,Beauty,Standard,Puma,30710
94,Quas,Grocery,Standard,Reliance,76683
95,Quidem,Sports,Budget,Reliance,62570
96,Corporis,Sports,Budget,Nike,18169
97,Beatae,Sports,Standard,Samsung,74123
98,Alias,Beauty,Budget,Local,64396
99,Error,Beauty,Premium,Nike,56300
100,Nihil,Sports,Standard,Local,1766
101,Itaque,Fashion,Premium,Local,43620
102,Est,Electronics,Budget,Apple,77301
103,Necessitatibus,Sports,Standard,Samsung,9473
104,Incidunt,Grocery,Standard,Nike,34633
105,Tenetur,Fashion,Premium,Reliance,11166
106,Nobis,Grocery,Standard,Apple,42928
107,Natus,Electronics,Premium,Reliance,73471
108,Error,Beauty,Standard,Tata,3830
109,Laudantium,Electronics,Premium,Reliance,55465
110,Laudantium,Beauty,Premium,Local,33537
111,Libero,Grocery,Budget,Tata,77548
112,Porro,Sports,Premium,Nike,1003
113,Earum,Beauty,Premium,Samsung,47245
114,Ducimus,Sports,Premium,Reliance,50099
115,Voluptatum,Electronics,Standard,Apple,40099
116,Eos,Beauty,Budget,Nike,37386
117,Quis,Electronics,Standard,Apple,25002
118,Facilis,Electronics,Premium,Puma,56691
119,Ratione,Fashion,Budget,Apple,10305
120,Quos,Sports,Standard,Local,2771
121,At,Electronics,Budget,Nike,37817
122,Cum,Sports,Standard,Nike,9185
123,Qui,Fashion,Standard,Apple,70131
124,Ipsum,Home & Kitchen,Budget,Local,31608
125,Similique,Sports,Premium,Tata,1355
126,Neque,Fashion,Budget,Samsung,320
127,Eligendi,Beauty,Standard,Tata,6145
128,Expedita,Home & Kitchen,Premium,Samsung,24556
129,Ipsa,Fashion,Standard,Tata,55870
130,Aspernatur,Sports,Budget,Samsung,26294
131,Praesentium,Fashion,Standard,Nike,26996
132,Vero,Grocery,Premium,Tata,38095
133,Quos,Fashion,Budget,Samsung,55584
134,Minima,Home & Kitchen,Premium,Tata,32774
135,Saepe,Sports,Budget,Puma,35737
136,Veritatis,Beauty,Standard,Puma,60299
137,Ex,Fashion,Budget,Apple,77505
138,Nam,Sports,Standard,Reliance,12479
139,Adipisci,Beauty,Standard,Local,22719
140,Voluptates,Electronics,Standard,Reliance,27174
141,Exercitationem,Sports,Budget,Tata,32856
142,Quisquam,Fashion,Budget,Puma,18028
143,Nostrum,Beauty,Standard,Nike,6648
144,Dolor,Electronics,Budget,Nike,39112
145,Ea,Sports,Budget,Reliance,43596
146,Veritatis,Sports,Premium,Puma,14419
147,Voluptatibus,Home & Kitchen,Standard,Tata,24203
148,Explicabo,Electronics,Budget,Puma,67337
